epoch,train_loss,val_mse,val_srcc,val_plcc
1,14.774699378013612,12840.827,0.5841628551293878,0.6504422426223755
2,0.850612628870997,11592.588,0.5813022453455297,0.6608590483665466
3,0.768983166793297,10445.094,0.6219916693055678,0.6934522986412048
4,0.7027538069363298,9366.534,0.6461102782408469,0.7109419107437134
5,0.6410267402385843,8501.896,0.6767174692560866,0.7346465587615967
6,0.5891593476821636,7697.8364,0.6950789766306331,0.7484380006790161
7,0.5519852136743479,7250.715,0.706246561161225,0.7572841644287109
8,0.5060950967772254,6948.8394,0.7202681250631875,0.769615888595581
9,0.47218517476114735,6106.788,0.7452964984059279,0.7908002138137817
10,0.4440741393072852,5764.664,0.7551978207142809,0.800582766532898
11,0.4254298312910672,5544.983,0.7654949409485612,0.8095124363899231
12,0.40910749188784895,5479.6514,0.7789748287990229,0.8185667991638184
13,0.3889505246589924,5109.575,0.782319794378783,0.8225781321525574
14,0.37521419360719876,4800.09,0.7850126015108534,0.8243143558502197
15,0.3562328651033599,4759.9873,0.7951716642437002,0.8322033882141113
