epoch,train_loss,val_mse,val_srcc,val_plcc
1,0.5660227668696436,7179.513,0.6947616575302235,0.7126908898353577
2,0.46819526244854104,6649.877,0.7105469382938451,0.7391756772994995
3,0.4312729490214381,6564.4473,0.7214206730225811,0.7477856874465942
4,0.40731505319989963,6206.8594,0.7270142984623852,0.7571704387664795
5,0.384750517277882,6227.928,0.7262323591978749,0.7564788460731506
6,0.36931678426676784,6046.2686,0.7386419773260093,0.7661263942718506
7,0.3571602698030143,6007.0464,0.7354833589936294,0.7673546075820923
8,0.33834489748395724,6030.0166,0.7417006100672033,0.7669088840484619
9,0.32958675910686624,5964.6353,0.7396963644853732,0.7684524059295654
10,0.31194071481967794,5922.0493,0.7424283472118833,0.7724045515060425
11,0.3056951261799911,5879.321,0.7449669380144752,0.7731455564498901
12,0.2999642686597232,5874.0576,0.7457986176804929,0.7752195000648499
13,0.29327226877212526,6157.1895,0.7389920983693377,0.7676657438278198
14,0.2867886685091874,5911.1353,0.7495325594872135,0.7727659940719604
15,0.2722909074405144,5967.241,0.7442308665935495,0.7713994383811951
16,0.27095483459275344,5905.2593,0.7472016185841301,0.7757003307342529
17,0.26423703205996546,5814.9214,0.7477961791867298,0.7748594880104065
18,0.2617185997551885,5824.3257,0.7474872213781235,0.7749723196029663
19,0.2523329346344389,5862.4795,0.7458880165027242,0.775300145149231
20,0.2504316320707058,5943.4375,0.7478396394506542,0.7725603580474854
21,0.24015777213820097,5780.7573,0.7488413715360956,0.7760396003723145
