epoch,train_loss,val_mse,val_srcc,val_plcc
1,1.1676627290659938,13584.471,0.5960849422390119,0.6327820420265198
2,0.9040694664264547,10783.101,0.5972742634085085,0.6583113670349121
3,0.656642211305684,6782.339,0.7253486925610682,0.7709440588951111
4,0.4941941051647581,5831.524,0.7652954327238087,0.8035167455673218
5,0.4374059804554643,6480.24,0.7843215561127009,0.8208816051483154
6,0.40293360434729475,6498.204,0.7903486087810032,0.8128792643547058
7,0.37942159792472574,7414.536,0.7928346074091797,0.8253001570701599
8,0.3685258392629952,6508.507,0.806021151527336,0.8372923135757446
9,0.35158705382511535,7332.2817,0.8003575617414053,0.833829402923584
10,0.35674776332131747,7331.0303,0.808521850196193,0.8401237726211548
11,0.33117047589400717,6436.232,0.8143308311953683,0.8448352217674255
12,0.3450705772843854,6018.088,0.8190800271201726,0.848308801651001
13,0.3163055732332427,6462.8604,0.8187878766946155,0.8496016263961792
14,0.30794364871649904,6070.5522,0.820650170482833,0.8491377830505371
15,0.2951946842259374,6993.5483,0.822202112670833,0.8521281480789185
16,0.2936946601703249,6632.3877,0.8183695785735635,0.8502917289733887
