model,layer,srcc,plcc
facebook/dinov3-vitl16-pretrain-lvd1689m,4,0.652664437715332,0.6091721653938293
facebook/dinov3-vitl16-pretrain-lvd1689m,5,0.6951165256710125,0.6837973594665527
facebook/dinov3-vitl16-pretrain-lvd1689m,6,0.7003999010687849,0.6882812976837158
facebook/dinov3-vitl16-pretrain-lvd1689m,7,0.6469315355238219,0.6366624236106873
facebook/dinov3-vitl16-pretrain-lvd1689m,8,0.5317046892262745,0.6040424704551697
facebook/dinov3-vitl16-pretrain-lvd1689m,9,0.516359279143478,0.6007985472679138
facebook/dinov3-vitl16-pretrain-lvd1689m,10,0.477910229679017,0.5621452927589417
facebook/dinov3-vitl16-pretrain-lvd1689m,11,0.4884911659945121,0.5733323693275452
facebook/dinov3-vitl16-pretrain-lvd1689m,12,0.523869513759361,0.6152693629264832
facebook/dinov3-vitl16-pretrain-lvd1689m,13,0.5326865380500577,0.6211996674537659
facebook/dinov3-vitl16-pretrain-lvd1689m,14,0.531559148456989,0.6224464178085327
facebook/dinov3-vitl16-pretrain-lvd1689m,15,0.5421877985722747,0.634041428565979
facebook/dinov3-vitl16-pretrain-lvd1689m,16,0.5493291783950734,0.6243077516555786
facebook/dinov3-vitl16-pretrain-lvd1689m,17,0.580934999054427,0.659845769405365
facebook/dinov3-vitl16-pretrain-lvd1689m,18,0.6095856358400598,0.6788990497589111
facebook/dinov3-vitl16-pretrain-lvd1689m,19,0.6173734463998662,0.6740267872810364
facebook/dinov3-vitl16-pretrain-lvd1689m,20,0.622151537075697,0.6552329659461975
facebook/dinov3-vitl16-pretrain-lvd1689m,21,0.650891790305624,0.6661030650138855
facebook/dinov3-vitl16-pretrain-lvd1689m,22,0.6587913519541679,0.6370892524719238
facebook/dinov3-vitl16-pretrain-lvd1689m,23,0.7002635674147663,0.6807999610900879
facebook/dinov3-vitl16-pretrain-lvd1689m,24,0.7077780592277506,0.6388047933578491
facebook/dinov3-vits16-pretrain-lvd1689m,0,,
facebook/dinov3-vits16-pretrain-lvd1689m,1,0.48291976948864457,0.4545879364013672
facebook/dinov3-vits16-pretrain-lvd1689m,2,0.6887533421098538,0.6097899079322815
facebook/dinov3-vits16-pretrain-lvd1689m,3,0.6676299657940947,0.6261330246925354
facebook/dinov3-vits16-pretrain-lvd1689m,4,0.7056766384265725,0.6653204560279846
facebook/dinov3-vits16-pretrain-lvd1689m,5,0.6835643148868293,0.6994224786758423
facebook/dinov3-vits16-pretrain-lvd1689m,6,0.5595882641196301,0.6416369080543518
facebook/dinov3-vits16-pretrain-lvd1689m,7,0.5644626383658182,0.6325018405914307
facebook/dinov3-vits16-pretrain-lvd1689m,8,0.563093292101715,0.6282336711883545
facebook/dinov3-vits16-pretrain-lvd1689m,9,0.5908460365150934,0.6502227187156677
facebook/dinov3-vits16-pretrain-lvd1689m,10,0.6268069239714789,0.6763301491737366
