model,layer,srcc,plcc
facebook/dinov3-vitl16-pretrain-lvd1689m,24,0.4183134916869298,0.4584290683269501
facebook/dinov3-vits16-pretrain-lvd1689m,0,,
facebook/dinov3-vits16-pretrain-lvd1689m,1,0.4800521864933791,0.4112165868282318
facebook/dinov3-vits16-pretrain-lvd1689m,2,0.5702896657219307,0.518493115901947
facebook/dinov3-vits16-pretrain-lvd1689m,3,0.5243789055357947,0.4916754364967346
facebook/dinov3-vits16-pretrain-lvd1689m,4,0.4836109305201039,0.4758073091506958
facebook/dinov3-vits16-pretrain-lvd1689m,5,0.40163627044692696,0.38670480251312256
facebook/dinov3-vits16-pretrain-lvd1689m,6,0.28719703548714015,0.26898854970932007
facebook/dinov3-vits16-pretrain-lvd1689m,7,0.2093553379620143,0.21842196583747864
facebook/dinov3-vits16-pretrain-lvd1689m,8,0.23157779129328326,0.2450554370880127
facebook/dinov3-vits16-pretrain-lvd1689m,9,0.2848004932764465,0.312630832195282
facebook/dinov3-vits16-pretrain-lvd1689m,10,0.3229145244099888,0.359474778175354
facebook/dinov3-vits16-pretrain-lvd1689m,11,0.4561621733575095,0.5122509598731995
facebook/dinov3-vits16-pretrain-lvd1689m,12,0.5013840216384023,0.548398494720459
siglip2_base,0,0.43436017956863826,0.31530073285102844
siglip2_base,1,0.4963350659923399,0.45283785462379456
siglip2_base,2,0.5039216424468133,0.4824906587600708
siglip2_base,3,0.5400932314552115,0.5383944511413574
siglip2_base,4,0.5405817576473556,0.5363320112228394
siglip2_base,5,0.5627046117293907,0.5758935213088989
siglip2_base,6,0.5738047497020335,0.5868496298789978
siglip2_base,7,0.5793465893502133,0.5947537422180176
siglip2_base,8,0.5630123944453841,0.5738032460212708
siglip2_base,9,0.5569336858369744,0.5612483024597168
siglip2_base,10,0.5591676523314785,0.5665574073791504
siglip2_base,11,0.5553578233276565,0.5599313378334045
siglip2_base,12,0.5389871628404063,0.5369967222213745
google/siglip2-large-patch16-256,0,0.4223042407838451,0.1347644031047821
google/siglip2-large-patch16-256,1,0.4855698418672395,0.39160484075546265
google/siglip2-large-patch16-256,2,0.49007507391377947,0.46553441882133484
google/siglip2-large-patch16-256,3,0.4536772189263183,0.4409518241882324
google/siglip2-large-patch16-256,4,0.44620356979129544,0.43819451332092285
google/siglip2-large-patch16-256,5,0.43403357463773423,0.4156038761138916
google/siglip2-large-patch16-256,6,0.44640817065032945,0.4307304620742798
google/siglip2-large-patch16-256,7,0.469485615383302,0.46209830045700073
google/siglip2-large-patch16-256,8,0.5058141770131016,0.5097804665565491
google/siglip2-large-patch16-256,9,0.4966156012108782,0.5026106834411621
google/siglip2-large-patch16-256,10,0.5080897659422936,0.5203485488891602
google/siglip2-large-patch16-256,11,0.5241967100945276,0.5363084673881531
google/siglip2-large-patch16-256,12,0.5360198544389543,0.5504426956176758
google/siglip2-large-patch16-256,13,0.5510019187986347,0.5604546666145325
google/siglip2-large-patch16-256,14,0.5570725978464323,0.5670417547225952
google/siglip2-large-patch16-256,15,0.5635196753461439,0.576095461845398
google/siglip2-large-patch16-256,16,0.5568954152548357,0.5697306394577026
google/siglip2-large-patch16-256,17,0.5568214457400565,0.5725289583206177
google/siglip2-large-patch16-256,18,0.5543043688131256,0.5697331428527832
google/siglip2-large-patch16-256,19,0.5474697877922108,0.5607414841651917
google/siglip2-large-patch16-256,20,0.5425017186226563,0.5532305836677551
google/siglip2-large-patch16-256,21,0.5386201175995469,0.5497559309005737
google/siglip2-large-patch16-256,22,0.5301389468686103,0.5438478589057922
google/siglip2-large-patch16-256,23,0.520232661919273,0.5392483472824097
google/siglip2-large-patch16-256,24,0.5088614498321751,0.5308845639228821
