model,layer,srcc,plcc
facebook/dinov3-vitl16-pretrain-lvd1689m,22,0.047567286547443126,0.06084315851330757
facebook/dinov3-vitl16-pretrain-lvd1689m,23,0.04628595508522405,0.06281284242868423
facebook/dinov3-vitl16-pretrain-lvd1689m,24,0.030020870586615452,0.04813466966152191
facebook/dinov3-vits16-pretrain-lvd1689m,0,,
facebook/dinov3-vits16-pretrain-lvd1689m,1,0.027007449635230732,0.026120854541659355
facebook/dinov3-vits16-pretrain-lvd1689m,2,0.0027821307020631496,0.01900183968245983
facebook/dinov3-vits16-pretrain-lvd1689m,3,0.004912287007000275,0.01989390142261982
facebook/dinov3-vits16-pretrain-lvd1689m,4,0.022674894199931357,0.03115692175924778
facebook/dinov3-vits16-pretrain-lvd1689m,5,0.004901945005141362,0.017094863578677177
facebook/dinov3-vits16-pretrain-lvd1689m,6,-0.03695740746218866,-0.017062706872820854
facebook/dinov3-vits16-pretrain-lvd1689m,7,-0.01791035921214209,-0.01633334904909134
facebook/dinov3-vits16-pretrain-lvd1689m,8,-0.023444669949832055,-0.029109559953212738
facebook/dinov3-vits16-pretrain-lvd1689m,9,-0.013834906276791726,-0.019172847270965576
facebook/dinov3-vits16-pretrain-lvd1689m,10,0.004068438169743985,0.003521010046824813
facebook/dinov3-vits16-pretrain-lvd1689m,11,0.01447170242484655,0.02738673985004425
facebook/dinov3-vits16-pretrain-lvd1689m,12,0.016883525544916993,0.03677880018949509
google/siglip2-base-patch16-224,0,0.0024569706943084737,0.01689212955534458
google/siglip2-base-patch16-224,1,-0.0012927225028913866,0.003120163921266794
google/siglip2-base-patch16-224,2,0.009870606018030843,0.011192042380571365
google/siglip2-base-patch16-224,3,0.00673221983791856,0.009634837508201599
google/siglip2-base-patch16-224,4,0.010650679443338787,0.014351265504956245
google/siglip2-base-patch16-224,5,0.017130036441737034,0.01796599291265011
google/siglip2-base-patch16-224,6,0.0255325090767314,0.022881902754306793
google/siglip2-base-patch16-224,7,0.03465381890980826,0.030561305582523346
google/siglip2-base-patch16-224,8,0.049373732374994816,0.042481984943151474
google/siglip2-base-patch16-224,9,0.056373022033071436,0.057636938989162445
google/siglip2-base-patch16-224,10,0.050720326859320916,0.060192305594682693
google/siglip2-base-patch16-224,11,0.05486031166675392,0.06238668039441109
google/siglip2-base-patch16-224,12,0.041479020702706,0.05183497071266174
google/siglip2-large-patch16-256,0,0.0070053461246825715,0.01995977573096752
google/siglip2-large-patch16-256,1,-0.02107055394125085,-0.020193008705973625
google/siglip2-large-patch16-256,2,0.0021055714219670625,0.005758629646152258
google/siglip2-large-patch16-256,3,0.0031391816770369313,0.006153371650725603
google/siglip2-large-patch16-256,4,0.0007718442182013766,0.0057545010931789875
google/siglip2-large-patch16-256,5,0.004026027064907912,0.009067497216165066
google/siglip2-large-patch16-256,6,0.001500997450672998,0.009664325043559074
google/siglip2-large-patch16-256,7,0.006775960943566384,0.011890508234500885
google/siglip2-large-patch16-256,8,0.011052273389805791,0.017526518553495407
google/siglip2-large-patch16-256,9,0.01596393743233191,0.020098216831684113
google/siglip2-large-patch16-256,10,0.02258952562981086,0.024181094020605087
google/siglip2-large-patch16-256,11,0.029506031421696364,0.030439836904406548
google/siglip2-large-patch16-256,12,0.03653627387865545,0.03614247962832451
google/siglip2-large-patch16-256,13,0.04992944331735274,0.04954799637198448
google/siglip2-large-patch16-256,14,0.06256286310080625,0.060128673911094666
google/siglip2-large-patch16-256,15,0.07112787042336406,0.06733161956071854
google/siglip2-large-patch16-256,16,0.06717856531086101,0.06837394088506699
google/siglip2-large-patch16-256,17,0.059468647099752615,0.06322752684354782
google/siglip2-large-patch16-256,18,0.05463732236143976,0.058897435665130615
google/siglip2-large-patch16-256,19,0.062290214851874366,0.06823892891407013
google/siglip2-large-patch16-256,20,0.05916456824829185,0.0654291957616806
google/siglip2-large-patch16-256,21,0.05265020468840077,0.06052545830607414
google/siglip2-large-patch16-256,22,0.041323858199808584,0.054476574063301086
google/siglip2-large-patch16-256,23,0.028433543678442353,0.04894613102078438
google/siglip2-large-patch16-256,24,0.025251816049711998,0.04368000850081444
