model,best_layer,srcc,plcc
facebook/dinov2-base,4,0.9634310736110752,0.72745680809021
facebook/dinov2-large,9,0.9539901217424248,0.7601913809776306
facebook/dinov2-small,4,0.9589788521212854,0.720051646232605
facebook/dinov3-vitb16-pretrain-lvd1689m,4,0.9603161280276812,0.7591567635536194
facebook/dinov3-vitl16-pretrain-lvd1689m,6,0.9562617422929246,0.664578378200531
facebook/dinov3-vits16-pretrain-lvd1689m,4,0.9636354384697148,0.7220801115036011
google/siglip2-base-patch16-224,8,0.9621826752909624,0.6262649893760681
google/siglip2-large-patch16-256,18,0.9604610941116348,0.671517014503479
