epoch,train_loss,all_mse,all_srcc,all_plcc,live_mse,live_srcc,live_plcc,tid2013_mse,tid2013_srcc,tid2013_plcc
1,12.183844694459655,412.4717186428941,0.5577313330301735,0.4370557145147229,1670.3824016467754,-0.8940295167902407,-0.8241420408341702,1.5542288616261806,0.6912454215399548,0.503132087428447
2,1.4088304785161518,242.52843665732524,0.5608568784677705,0.7170915885978179,980.6680204924828,0.12400331190241479,0.06028371471487784,1.4028392711737145,0.4727910382303111,0.501417870917614
3,0.909227686301014,192.19792702408313,0.5751337484144495,0.7847656185688681,776.3970927365302,0.491383374607438,0.518009220340483,1.3595328913504654,0.5018502740158212,0.4771186757404983
4,0.8907719021014125,230.2086182692202,0.48585370643495335,0.7320681323207735,930.9089017685055,0.5779964817822205,0.20871384643477467,1.3131923261203262,0.2695513954565407,0.5339629252225503
5,0.8408167275780787,232.26052220339238,0.582368146560227,0.7311924019057757,939.5466301695358,0.42941972089704716,0.19073550753698576,1.2137269344521429,0.5031980591689837,0.6219184159622727
6,0.8083574349447683,191.22445433774794,0.5758421337177859,0.7857820994799767,772.9141733294139,0.6710483686220932,0.6451697064332879,1.2058128004704003,0.45955140365796043,0.5993247584162925
7,0.7462312915904373,171.31832997522292,0.6105345374820463,0.8123433017037103,692.2167863831302,0.7574806651353064,0.7271403166332351,1.1581675486398917,0.5306550705310622,0.624430621311006
8,0.7008120857239967,155.4657395854954,0.6331523977733493,0.8307904082806081,627.9838482770957,0.7602392277950021,0.7523266651106437,1.1098240795726455,0.5845195261856118,0.6450733669073885
9,0.6769908277103905,157.7132821485034,0.6277775206669034,0.825892394947138,636.9712709878576,0.778816323200493,0.7438909933800416,1.1556724609810567,0.5692207537934135,0.6191372220350846
10,0.662616443910916,146.18638531191232,0.650878902538347,0.8402343316109135,590.4441740080775,0.7711790728671245,0.7672541912247234,1.062174337831668,0.6241070541436452,0.6726388292168994
11,0.6257852007215755,142.66574164332775,0.6648033736735683,0.8437888996874994,576.4115916321966,0.7737328234499982,0.7631571575908832,0.9754306469638678,0.6570092619697352,0.7137101968829934
12,0.6100770599125169,144.96680442685886,0.6875304271573901,0.8421435717545899,586.0361813063313,0.7383707383112084,0.7366740581855002,0.8841413128978404,0.714672744184,0.7682238042894953
13,0.5887995589961814,136.41590266233845,0.6883664795700443,0.8517498727448269,551.3494453071465,0.754182870679603,0.7541962835255093,0.8709453983678206,0.7134013483377457,0.7708852391279417
14,0.5620914286999903,119.05951243849964,0.6912185435959545,0.8704505924697755,480.95430737477534,0.7986283822591737,0.7887461827826345,0.8405460926495778,0.7162021692200259,0.7723498163877811
15,0.5533522994953809,118.84408888899385,0.6856591183363298,0.8709268363579525,479.9977993943953,0.8115622540767524,0.8045087917330546,0.8672101238960477,0.701552783499723,0.7720242647907618
16,0.5363506523229308,109.43727480917734,0.6949154180037307,0.881441777022602,442.0490256288145,0.8065459582889649,0.8009550370459945,0.7841028747625433,0.7238624055830138,0.7881172034741407
17,0.5212191323289613,115.32509425673847,0.6911416658144957,0.8748525959549706,465.72201051868353,0.7944428446242677,0.7953134606642215,0.8621016111697253,0.7158961675455155,0.7798961312744921
18,0.4903131329407126,101.4563643139091,0.7050013694776152,0.8905405468783839,409.83765883036364,0.8053458875263363,0.8057669132747961,0.7184747718672863,0.7483781508498198,0.8096049740603328
19,0.4940335237036991,104.70957381650935,0.6913890766061619,0.8872864144257994,422.69557514126166,0.8200187527174089,0.8202688659826204,0.8341467170902429,0.7136458218977826,0.7783682566742894
20,0.463001971995389,102.3001072242537,0.7076903140972933,0.889603790865073,413.2734846436041,0.8063123445138398,0.8116369010640005,0.7154706005992328,0.7535822904391583,0.8177585136967592
21,0.4420098031532517,97.85833017534446,0.6921263460848888,0.8967113178307439,394.8713885097046,0.8259391018130433,0.8253882785841974,0.8340644527868247,0.7145315450020153,0.7717925147035241
22,0.4611686970442253,97.67395276462979,0.6794618087427323,0.9032417763091927,393.88015494852897,0.8568337235261544,0.8483232092198141,0.9132600512227346,0.6823602895851728,0.7376116185037258
23,0.4413430515281524,96.32929257414366,0.6919658211896587,0.9025001920981444,388.6030710528219,0.8390566752957491,0.8324630571725634,0.8531916044420886,0.7128624842778489,0.7633259062220774
24,0.4268496086106537,88.3445979939508,0.7055688105777937,0.9095627242949859,356.6736991371348,0.8408535812509916,0.8393717903989252,0.6904249538440207,0.7463805288072698,0.8092137798534315
25,0.3940260309284016,91.00328932810092,0.7150692017634008,0.9038982748166817,367.6314741116111,0.8210204117806161,0.8214298528417212,0.6380822988209025,0.7709555243983072,0.8303462977514191
26,0.39869992003752164,89.36788751190154,0.7191858384701686,0.9053445422251462,361.148011545266,0.8205019812111605,0.8173272982681317,0.5863803276691507,0.7813395256663518,0.8391260653567773
27,0.38681706541076966,87.3500979963046,0.7149304347181038,0.9090026870787691,352.84128775595923,0.8355524686688736,0.8341623113557247,0.6229760081507388,0.7688836241715121,0.8258730176538109
28,0.3680764876179776,101.26074306044063,0.7162345403797354,0.8921968833984338,409.0165565907324,0.8124503064410976,0.814093006432259,0.7271773072120276,0.7719172518833194,0.8227116511848362
29,0.37410460922303473,101.0047760329074,0.7300743142435253,0.8924594435855638,408.32837862545284,0.7921080133704594,0.8063642150326294,0.6123991860091877,0.8069722770456675,0.8630261464229616
30,0.35854557182754426,87.87033362118926,0.719856629135033,0.910372193333396,355.0458462416463,0.8418296388045963,0.8402438789762918,0.5929994985066335,0.7807095499967603,0.8349004342503492
