epoch,train_loss,all_mse,all_srcc,all_plcc,live_mse,live_srcc,live_plcc,tid2013_mse,tid2013_srcc,tid2013_plcc
1,9.822523484646114,564.6701468265604,0.5051310502162133,0.09889579470929821,2288.6234642287163,-0.9667738950617576,-0.8655796285129083,1.5120631418561925,0.8011869953872998,0.8082821305868183
2,2.2421267765988664,461.3820901888486,0.5530022249363231,0.33464095701796126,1869.1985199431522,-0.9536266309567278,-0.8561197242917854,1.4953898024428955,0.7592182379470025,0.7690381451097722
3,1.334754403514527,258.72517351650913,0.5954056578593695,0.7051214278551654,1045.8536622384613,-0.6715571986254478,-0.5297436514848156,1.596533867338082,0.7102996924758955,0.649066096943726
4,1.0737555512675532,234.99947908375125,0.3827948415756995,0.7351421768587443,949.2917965057159,0.5056946184753717,0.4544589361128796,1.6639887259094874,0.052148800707478196,0.15977210215902463
5,1.0359389798415208,267.1573632421493,0.5958644409119215,0.692573273280024,1080.21290466663,-0.8047874545981263,-0.6478748136526425,1.5592197101522118,0.7295565996534109,0.6933458491703158
6,1.0375086746721693,260.462270359863,0.6024576458963278,0.7021292855047404,1053.0205535644764,-0.7181791477063943,-0.4803681373528254,1.559897846356035,0.7358709361816543,0.633497846795863
7,1.003301138333083,259.073176821289,0.611842713260662,0.7040436898745944,1047.4858109084676,-0.510110878881845,-0.331577291584757,1.5250496861440355,0.7291181351523358,0.644242140575044
8,0.9693176004023052,246.68995170566794,0.5942190711340758,0.7203876683588661,997.3342869489899,0.08359132899448374,0.05399041622535092,1.4794688595160983,0.5965581256119085,0.6080746899682331
9,0.9330663574018796,247.13116776695446,0.5954486656499001,0.7195023971271096,999.4012992265032,0.13785532869184935,0.06570478532397268,1.3895914901685629,0.5836370271269614,0.6337150177530133
10,0.9016988178655477,233.7371819223657,0.6084545189322786,0.7370986259612474,945.2667243873171,0.22383959878701454,0.22576381490542022,1.304198050481521,0.5998175878928667,0.6521817281167367
11,0.8556351986458223,212.48205609116988,0.6202568441079761,0.7638432091853583,859.2167975384901,0.30509398998307274,0.3775629520589947,1.2153738850452545,0.6149252538987604,0.6672387089428773
12,0.8122229528591757,158.53051018495714,0.6123906537862306,0.8254125083812673,640.2608602665082,0.6875117393910077,0.6705838561100307,1.1652624916504808,0.5448660094076404,0.6246951336165308
13,0.726813168587059,200.61360959776124,0.6709288965429443,0.7787696318833154,811.6037380117805,0.3484725478162218,0.4261948363782536,1.0235009825150514,0.7318940606451553,0.7720005431633011
14,0.7111609741643174,141.66379469511543,0.6155892455222784,0.842908617124302,571.7914114373835,0.7564579964770725,0.7218492871957244,1.155439892641192,0.5407797092687054,0.6254986485208153
15,0.6712531837291562,123.49065492407631,0.6577223997232773,0.8655871546458355,498.6442677299433,0.7223249921676885,0.7331996331034936,0.9404747408264745,0.6462708143176354,0.7168726708506251
16,0.5967096496661055,119.32605324317737,0.6664972619819911,0.8719588688399422,481.91372436998256,0.7417259630148906,0.7511125212257311,0.8807473417543394,0.6657221152039914,0.7396483657415283
17,0.5556054993463027,114.23964201636979,0.6759837733382397,0.8808096768713897,461.5500631166197,0.7544516865304318,0.7756528488473539,0.7849044569548318,0.6887153061489456,0.7717108230950501
18,0.5547090471726278,119.980726447154,0.6961494977026892,0.8695233831480915,485.09858444143856,0.7013333543877889,0.7398426027645143,0.7088928356876943,0.7443087396921941,0.816855360668412
19,0.49881204857963923,108.12120187416059,0.6985835352594232,0.8839320076926019,437.0059771627298,0.7543570776179604,0.7768072590598911,0.6855086132279964,0.7418528929199125,0.815133287184037
20,0.46548502786086177,106.4815111458203,0.684771575545414,0.8976575964166766,430.02521671289037,0.8514782077361304,0.8309613657085595,0.7905673272440981,0.6985194335672138,0.765029429306859
21,0.46098612839144426,106.31251130731454,0.6930330568348411,0.9028231770606052,429.523691520681,0.859825899960975,0.8373567696089018,0.7301924376148435,0.7186651271423323,0.7786177569942682
22,0.4532474304098643,98.80671922510334,0.7132563430875346,0.8959329391057129,399.44353856604334,0.7917274845120267,0.8024649416211231,0.598691573729608,0.7722507814862465,0.8349050896728802
23,0.4126834355467756,96.9573910381392,0.717405185074791,0.8982222768121123,392.03574979389765,0.7936587983926836,0.81345720572247,0.5651271779247955,0.7812766919891783,0.8508173276211916
24,0.4028713370334855,102.55031037084267,0.7225798848108356,0.8896212894077437,414.7361394888111,0.7658907610398077,0.7874903770095034,0.5696061923063094,0.7969931946600972,0.8632056426622735
25,0.38247960800280456,98.11787258656422,0.7269005319165018,0.8951577088836742,396.98541107599425,0.7556517572930603,0.7818661353593509,0.4878100133504041,0.8106621583486425,0.8735514410598815
26,0.3545547246895567,91.97074214675968,0.7339566624524225,0.9016410263892093,372.05567139006894,0.7871141308424405,0.8108416600941499,0.47633192727863055,0.8204663786662171,0.8806005666994925
27,0.3505650451178829,91.78589477444963,0.7307192430104158,0.914279589525207,371.1812526371622,0.8358596867841065,0.8403504960076882,0.5167445392968699,0.8081399778800348,0.8594491433049825
28,0.3483896611699202,93.13656242735263,0.7438376989999153,0.9014211990328416,376.77345270757826,0.8039422828921602,0.8245313770336123,0.48184493581225324,0.840564766426912,0.8818249229861521
29,0.3275785809482184,90.58818004675898,0.7486530871623847,0.9031598703354387,366.4380758191071,0.8017504755215009,0.8249121955326584,0.4772140944585562,0.8502996808096733,0.8898446082203317
30,0.3177561223020512,95.38810475054416,0.7499848772302581,0.8993689616104187,386.08759104734594,0.7843430490859854,0.8020985301573988,0.4262725602555598,0.8541963965778264,0.8948774027878749
