variant,best_epoch,mixed_mse,mixed_srcc,mixed_plcc,live_mse,live_srcc,live_plcc,tid2013_mse,tid2013_srcc,tid2013_plcc
medium,30,95.38810475054416,0.7499848772302581,0.8993689616104187,386.08759104734594,0.7843430490859854,0.8020985301573988,0.4262725602555598,0.8541963965778264,0.8948774027878749
small,29,101.0047760329074,0.7300743142435253,0.8924594435855638,408.32837862545284,0.7921080133704594,0.8063642150326294,0.6123991860091877,0.8069722770456675,0.8630261464229616
large,2,328.7596213286743,0.6250097938649589,0.5822467629808058,1331.0558610516437,-0.9597805938274874,-0.8649030713723399,1.3428496858376893,0.8116970251227784,0.8126566291130422
