epoch,train_loss,val_mse,val_srcc,val_plcc
1,2.992187599478097,14480.398,0.6346326008212916,0.6714999675750732
2,0.98368318327542,12755.792,0.5407856341264364,0.634090006351471
3,0.8032726900330905,8451.2,0.6622568366421779,0.7298162579536438
4,0.6485347324404224,7003.7163,0.7195696587724898,0.7734591960906982
5,0.5319644438809362,6803.0317,0.7630007166569551,0.7928121089935303
6,0.4731711963127399,6153.989,0.7721324450404653,0.809382438659668
7,0.4443448070822091,6346.728,0.7797831349021009,0.8157322406768799
8,0.40832191376850524,5514.319,0.7892546958523213,0.8246539235115051
9,0.37775971416769355,5114.6113,0.7988435687794405,0.8285366296768188
10,0.36203631203750086,6399.766,0.795145445742287,0.8308694362640381
11,0.34484807088457303,5896.4624,0.7968716752628943,0.834700882434845
12,0.3282674199548261,5336.58,0.8111396944393071,0.8264336585998535
13,0.31722703082808135,5411.943,0.8173056012656285,0.8410218954086304
14,0.33010667110311576,5737.5596,0.8156443228006842,0.8410631418228149
15,0.3235386546315818,5520.6587,0.8151155164534634,0.8473960161209106
16,0.3201441117401781,5895.8486,0.8136147341118776,0.8479065895080566
